,Class,params
80,Abnormal,"(621.6427, array(11327.44568544), 4045.8088, 52.00588741519124, 53.52270266548438)"
81,Normal,"(461.65643, array(24440.59907846), 7041.679, 126.01665486306655, 217.6423219546893)"
82,Normal,"(331.89285, array(3371.45514832), 1447.9893, 49.67930631550318, 35.521494404301485)"
83,Abnormal,"(446.83557, array(3780.9892118), 1946.3887, 54.53786994525653, 38.219917154303246)"
84,Abnormal,"(422.3138, array(2954.91667546), 1677.8219, 45.57032818854278, 10.418016204039427)"
85,Normal,"(635.8197, array(5321.05522852), 4085.35, 42.06520934077652, 87.57447494822314)"
86,Normal,"(426.28677, array(13419.96650226), 4613.087, 156.51113752142066, 294.5032337187043)"
87,Abnormal,"(400.47098, array(4062.26891845), 1378.1117, 67.86622672488757, 61.08565521010562)"
88,Abnormal,"(534.90686, array(5011.15491533), 4739.512, 15.794927456258685, 28.256108690875998)"
89,Normal,"(529.96643, array(3160.46784783), 2027.462, 33.36994396534722, 27.80535299900529)"
90,Abnormal,"(415.91162, array(1513.45337644), 877.4005, 23.185505055168143, 12.381461575955246)"
91,Abnormal,"(458.5106, array(6285.01996379), 1038.9875, 47.10435426335604, 56.197980224607186)"
92,Abnormal,"(390.45316, array(1937.62008391), 765.3899, 19.659607171610748, 6.824584635712457)"
93,Normal,"(625.74854, array(12230.67085964), 2875.0613, 50.19486112510239, 77.27540972133387)"
94,Normal,"(489.4955, array(4635.2521567), 2053.9187, 28.39243861059066, 14.709038941441456)"
95,Abnormal,"(401.7066, array(1669.25107432), 1059.2823, 33.014901454147804, 14.873300812531395)"
96,Normal,"(356.19098, array(770.87266819), 318.28458, 9.587125186660252, 0.8664873023814915)"
97,Normal,"(414.57184, array(2109.08760614), 2621.503, 16.281593855162484, -9.826613555681169)"
98,Normal,"(595.9546, array(112272.71995572), 32671.807, 217.91009157082007, 942.0243224298789)"
99,Abnormal,"(427.44162, array(2563.7250773), 1428.9155, 33.60148083782091, 37.005335822363925)"
100,Normal,"(518.7294, array(25027.80729269), 7550.939, 180.3666367295759, 597.8576666933096)"
101,Normal,"(387.05176, array(4189.82501267), 1127.8528, 80.23305935105519, 234.0366907467373)"
102,Abnormal,"(416.04382, array(2412.61957046), 834.6791, 19.449755807973112, -0.9567460540491294)"
103,Abnormal,"(416.36142, array(1125.00279242), 667.33124, 18.41863773429185, 8.474290661087354)"
104,Normal,"(336.7884, array(2947.84829484), 1853.6525, 115.5587604699304, 429.3552387634506)"
105,Abnormal,"(437.21094, array(2389.90824583), 1159.3617, 21.799431872078795, -5.128547940681968)"
106,Abnormal,"(394.674, array(5564.22431419), 936.39966, 93.75497021323025, 321.0783853674112)"
107,Normal,"(412.79654, array(3938.61456253), 1802.5065, 56.30552435649478, 44.854997788153106)"
108,Abnormal,"(461.6363, array(3860.49327894), 290.26263, 30.67776350813701, 57.05459594345151)"
109,Abnormal,"(435.68515, array(69.21830268), 93.340225, 8.615068040556185, 5.800132007171456)"
110,Abnormal,"(398.2164, array(1108.48704245), 1602.2355, 35.12682909539273, 53.11267309392279)"
111,Abnormal,"(445.22855, array(4239.03199181), 736.61426, 66.6379055439896, 202.63613579281323)"
112,Normal,"(438.94644, array(28329.22111832), 9161.082, 169.14883012149085, 547.4261252492723)"
113,Abnormal,"(525.57635, array(7257.82361724), 4409.6973, 23.281223152877047, 46.08953915560792)"
114,Normal,"(389.67865, array(4432.97188477), 5231.9067, 58.70798415344837, 48.58627472092607)"
115,Normal,"(582.1622, array(6376.67109698), 3932.664, 49.15771153520337, 68.07070257632753)"
116,Normal,"(489.529, array(3990.76308728), 1503.4736, 16.4526075966003, -1.0311408441999712)"
117,Abnormal,"(363.6663, array(1478.79703252), 909.2461, 36.426418274173884, 18.38978870462017)"
118,Normal,"(467.03854, array(2422.91210308), 1274.6091, 48.10602637636208, 89.59946486060505)"
119,Normal,"(549.30133, array(738.1451235), 355.92902, 4.573808934800606, -6.36308572252012)"
120,Abnormal,"(455.51108, array(6205.84807151), 2732.1528, 39.205049993850494, 33.38207652968021)"
121,Abnormal,"(409.5224, array(2517.64322412), 1596.9603, 29.583186402973492, 22.476065841184628)"
122,Abnormal,"(408.76666, array(975.23705726), 800.82715, 24.28283266301726, 15.673384702291157)"
123,Abnormal,"(490.30722, array(2476.09249297), 1153.4922, 19.470426953922278, 3.661514976453654)"
124,Abnormal,"(445.66013, array(2464.1124754), 989.2266, 34.99915824068778, 36.233054532831204)"
125,Normal,"(445.53696, array(21035.56214098), 6847.2417, 170.2799306598149, 329.75679006208276)"
126,Normal,"(452.3077, array(30986.88162178), 5825.0503, 175.83322759377364, 450.59091501490445)"
127,Normal,"(349.52795, array(4802.77888969), 5223.519, 77.26667168610962, 105.43140877884066)"
128,Abnormal,"(423.50592, array(2879.03734627), 2581.6, 28.067114127785164, 36.84261492955453)"
129,Normal,"(434.3059, array(2788.79513294), 1158.5524, 31.427011672784637, 20.740465183316164)"
130,Normal,"(929.7476, array(391231.87960712), 1058547.8, 149.11131060487622, 532.7507782419576)"
131,Normal,"(499.66528, array(11458.05286133), 6039.3677, 165.09986302323136, 479.4597335375058)"
132,Normal,"(545.21674, array(2740.10305986), 2676.8528, 27.39468005720604, 40.94499620749845)"
133,Abnormal,"(267.62888, array(23.38945008), 36.964527, 1.2442515263637883, -1.6897122374450795)"
134,Abnormal,"(460.76074, array(5237.28035529), 1378.1786, 82.74388266215263, 139.9437128659335)"
135,Abnormal,"(519.82654, array(8068.7266592), 3317.9907, 94.72503460114686, 215.7436827029924)"
136,Normal,"(453.2488, array(15025.20481486), 9122.785, 136.2141269579747, 262.54456569159413)"
137,Abnormal,"(532.9538, array(3045.38581763), 2510.9521, 29.925168482818574, 6.735622834869349)"
138,Abnormal,"(382.08096, array(1427.49448829), 713.06696, 44.38538320711175, 90.06825795730613)"
139,Normal,"(451.89026, array(3137.30530954), 3262.3877, 58.4480567056862, 41.061866996021664)"
140,Normal,"(777.3801, array(735.21368885), 333.7287, 3.7157598401108825, -3.868620716983299)"
141,Normal,"(561.79834, array(4409.73322309), 2401.9663, 41.03780149366733, 53.47631967412084)"
142,Normal,"(321.41125, array(22719.96866698), 6764.7046, 137.4569710082569, 514.66679136679)"
143,Normal,"(585.1664, array(4920.0059555), 3788.0627, 42.39610095754462, 41.75887405253098)"
144,Normal,"(375.0537, array(5487.18778395), 1595.9457, 99.4637446373042, 103.13689471269848)"
145,Normal,"(410.97244, array(2308.85292562), 944.446, 50.882971390010894, 119.38163035472188)"
146,Normal,"(488.83597, array(1240.89912249), 1382.0537, 22.78352966545891, 7.4228237348086665)"
147,Normal,"(581.63983, array(15646.73828512), 43525.71, 37.6666720624291, 49.706323848131085)"
148,Abnormal,"(469.22784, array(6399.70688539), 3446.5671, 61.33344489293697, 52.9856257068577)"
149,Normal,"(543.44495, array(290.00760767), 168.22491, 2.266832598349943, -1.880886083422929)"
150,Abnormal,"(433.6221, array(1578.07383409), 1263.3124, 22.71297504123244, -4.815118812792575)"
151,Abnormal,"(709.0767, array(3779.38593341), 2525.9106, 30.77000246219386, 22.048135646324656)"
152,Abnormal,"(489.67374, array(194.90811146), 138.58978, 5.473085624429028, 0.3176983768150237)"
153,Abnormal,"(276.72113, array(13.96045658), 2.499415, 0.0953783896990292, -0.38316814293459805)"
154,Normal,"(298.24512, array(601.61910904), 519.1019, 13.882051369127865, -5.468288355823582)"
155,Abnormal,"(481.14322, array(4266.15032379), 951.80426, 71.24441449092532, 161.67373047422808)"
156,Normal,"(616.4218, array(4910.67326499), 3644.921, 33.362849802107675, 47.77911493031774)"
157,Abnormal,"(466.6151, array(4450.67883444), 1647.6488, 68.87127975626962, 110.87608728975461)"
158,Abnormal,"(464.54617, array(1506.29656984), 923.39197, 47.56046659571264, 78.7922520851886)"
159,Abnormal,"(606.2082, array(1084.86643606), 382.1624, 21.710132867736657, 47.19533143609518)"
160,Abnormal,"(409.4032, array(2394.2493845), 3004.5098, 50.72609684018987, 63.35179323743075)"
161,Abnormal,"(477.33124, array(2765.49287036), 1885.9789, 34.515455439288615, 24.24020913222064)"
162,Normal,"(545.5968, array(2310.72323603), 1849.1986, 28.706540239426687, 36.438585959532475)"
163,Normal,"(532.57135, array(3628.82743842), 3685.244, 92.17152456678285, 243.960430272255)"
164,Abnormal,"(423.5646, array(2232.10769739), 645.2288, 56.392873378721575, 176.3877527036051)"
165,Normal,"(455.05826, array(5455.56123439), 4355.2524, 162.57158195351593, 432.38659765413234)"
166,Abnormal,"(292.39624, array(6144.03372009), 1984.6521, 22.949488419858838, 65.54637867459822)"
167,Abnormal,"(496.64127, array(2171.49304141), 1176.3802, 52.25210010552346, 109.77159483668721)"
168,Normal,"(279.0943, array(402.23502944), 478.9127, 24.89285434683569, 33.57466841774996)"
169,Normal,"(697.53235, array(2858.27562173), 235.0834, 6.213642510713038, -0.5682046507858336)"
170,Normal,"(1102.6549, array(29258.48828741), 19466.053, 55.048724240119064, 64.53378178170028)"
171,Abnormal,"(477.78955, array(1817.38094164), 538.29816, 50.39162528796346, 124.76691524657559)"
172,Abnormal,"(429.84464, array(561.98609648), 418.44635, 10.762761592297165, -3.9179960932686617)"
173,Normal,"(335.24203, array(6273.14424731), 1597.22, 92.55377980405427, 172.26102715752273)"
174,Normal,"(588.30334, array(7649.45647724), 5712.948, 59.08549894568492, 84.06835183277029)"
175,Abnormal,"(389.1862, array(3642.01481907), 1490.7538, 56.390629725234774, 58.991320068670014)"
176,Abnormal,"(468.10464, array(3868.3654383), 2641.664, 62.62219308625051, 66.72096717547278)"
177,Abnormal,"(375.60605, array(11916.94314645), 9420.398, 150.7995525066195, 268.6977131853089)"
178,Normal,"(605.9253, array(7263.49869657), 2792.4863, 46.107408094333955, 64.71449693395449)"
179,Normal,"(552.9028, array(7676.552273), 4431.6045, 71.58048491358556, 98.17957388725239)"
180,Normal,"(243.81064, array(396.27849622), 49.392994, 4.739789212537602, -2.1608714261896043)"
181,Normal,"(619.3592, array(4592.90157392), 312.08, 15.65220104227911, 12.930570931288953)"
182,Normal,"(776.98065, array(9248.45608679), 4555.476, 40.57796373962423, 54.766985993269365)"
183,Normal,"(536.1349, array(3897.23858367), 2903.5823, 34.20917968259873, 44.89558406980768)"
184,Normal,"(441.08435, array(1025.74851997), 977.6236, 14.455505162041966, -3.798554611818066)"
185,Abnormal,"(372.6282, array(1358.40651002), 858.40497, 46.477551879535255, 34.818722458105896)"
186,Abnormal,"(392.05853, array(5375.26237742), 1104.7603, 23.825762390289412, 37.22309916793567)"
187,Abnormal,"(501.9901, array(4598.81908041), 1880.8677, 44.09287402696914, 58.263850913204486)"
188,Abnormal,"(587.996, array(2914.10799834), 1542.982, 19.234558014373484, 15.87154724990508)"
189,Abnormal,"(279.99374, array(682.44781162), 230.60732, 21.806402761192874, 23.8001542170588)"
190,Abnormal,"(536.304, array(5827.31486389), 1552.192, 57.44916278180671, 58.57810615514049)"
191,Abnormal,"(533.3594, array(18858.31659195), 5829.6064, 103.81280733516277, 263.92788907835825)"
192,Abnormal,"(410.82486, array(1791.50221485), 760.0891, 49.72577147713429, 86.91617543650155)"
193,Normal,"(452.1325, array(11233.54468845), 3816.7373, 199.75060975165513, 308.69530127802597)"
194,Normal,"(563.79675, array(4511.07070593), 1539.6027, 39.34099504497716, 44.98962631863121)"
195,Abnormal,"(389.40988, array(1626.81279843), 740.72003, 17.472127142617612, 2.3953482558296284)"
196,Abnormal,"(402.1764, array(11647.4247428), 3916.3335, 127.68028771108858, 379.5472607141033)"
197,Abnormal,"(437.66025, array(1708.81765151), 685.2969, 21.680432658227318, 14.370403460651044)"
198,Normal,"(485.96353, array(5396.89854287), 2651.0117, 59.133198739925746, 62.94437494961282)"
199,Abnormal,"(419.6867, array(16051.83929146), 4876.787, 175.41550155135621, 468.9214726733164)"
200,Abnormal,"(383.86172, array(7297.32566191), 1102.656, 118.05784373872125, 362.9408194286619)"
201,Normal,"(381.3747, array(4297.33869948), 846.2646, 53.45742266606128, 102.26526032757815)"
202,Normal,"(476.781, array(6591.87941462), 1243.9257, 44.73794400130756, 47.946824542841554)"
203,Abnormal,"(413.89456, array(4089.82848797), 1505.7976, 120.39459164435365, 340.3913847725311)"
204,Abnormal,"(578.66364, array(3429.22599927), 3655.1316, 34.281236078798216, 63.844540577790355)"
205,Normal,"(475.5167, array(3307.29290783), 3387.0806, 18.79794453793873, 20.16435993950251)"
206,Normal,"(497.97943, array(2869.99149579), 1322.429, 13.400855369962674, 7.814369030634647)"
207,Normal,"(351.2515, array(1723.99393548), 714.659, 24.928064498850738, 3.3435978816978684)"
208,Abnormal,"(365.42035, array(5042.79531933), 1950.4324, 134.16642217993945, 446.7760904206038)"
209,Normal,"(492.36447, array(62950.00180287), 5690.2886, 218.88447747552803, 476.73013247009663)"
210,Normal,"(823.3847, array(2673.88486426), 2949.953, 16.181708052969096, 11.222791160247665)"
211,Abnormal,"(535.8784, array(3071.53628289), 3732.8413, 39.48839050227327, 43.245945440147324)"
212,Abnormal,"(537.3329, array(2990.09171334), 1030.8207, 31.699202223345836, 34.393375578664596)"
213,Abnormal,"(509.9928, array(1103.32062389), 479.9545, 16.28296584408396, 14.667008909240618)"
214,Abnormal,"(270.65433, array(33.63773219), 28.585394, 0.8819139097557186, -2.7200459712736214)"
215,Abnormal,"(459.048, array(246.28311408), 248.20218, 8.430765346185188, 2.7342352571476103)"
216,Abnormal,"(360.73553, array(5177.26052486), 5170.376, 110.04258508384322, 347.4256484902986)"
217,Abnormal,"(402.05313, array(1952.1344215), 1131.2072, 42.3781032499469, 40.24231530826514)"
218,Abnormal,"(349.33606, array(124.46247632), 196.1521, 9.844945262330482, 6.568905869178414)"
219,Abnormal,"(270.81894, array(514.10806933), 182.90086, 10.530576864482244, 1.1915654970359117)"
220,Abnormal,"(494.47156, array(1101.82481076), 458.04538, 16.08849948169529, 2.7196083254966514)"
221,Abnormal,"(345.7575, array(2802.3174181), 895.41797, 38.07577695483376, 10.937757341090617)"
222,Normal,"(265.26443, array(444.46303663), 475.59494, 25.558433833169378, 27.265864478898344)"
223,Normal,"(480.95233, array(21505.02880857), 5254.082, 182.69107378599136, 481.6003766452438)"
224,Normal,"(1184.9972, array(60950.04645044), 23393.969, 80.42364775539676, 95.32073780803377)"
225,Abnormal,"(432.3084, array(2073.97499564), 500.5971, 20.628054303380143, 2.5592194631067993)"
226,Abnormal,"(444.86206, array(5089.96016126), 1711.0549, 63.29251105711232, 95.08689251432934)"
227,Abnormal,"(825.65784, array(3270.16909571), 1398.6984, 20.353921167239285, 8.94140656167909)"
228,Abnormal,"(601.6398, array(25646.82202603), 3134.7163, 100.78751480891903, 273.7239208447)"
229,Normal,"(423.61954, array(8090.6178909), 3160.8857, 80.7143034165471, 71.51279648899671)"
230,Normal,"(421.98874, array(23960.89920298), 2471.981, 176.07906382948084, 533.906292987174)"
231,Normal,"(318.69183, array(1031.79334872), 1139.2086, 8.173516928177165, -4.026995925103503)"
232,Normal,"(407.68228, array(6994.6262962), 2645.116, 139.39040392076123, 359.4011821998988)"
233,Abnormal,"(451.04532, array(1778.43491888), 831.28094, 25.829524917649955, 0.609648427245913)"
234,Abnormal,"(501.44186, array(1767.6844332), 859.1504, 49.01917077266518, 92.29296036656083)"
235,Normal,"(622.0033, array(8745.61872903), 6722.807, 80.69927133659709, 112.06016793032899)"
236,Normal,"(503.8266, array(5606.23468516), 10804.05, 25.1347298997923, 21.030913470548732)"
237,Abnormal,"(398.2663, array(3578.6956883), 1620.0613, 66.34487150216717, 50.66275834147108)"
238,Abnormal,"(473.73737, array(1500.21128814), 439.1657, 13.649004355606255, -2.026629103790886)"
239,Normal,"(471.30502, array(2607.43367166), 2832.7227, 18.188958372839547, 12.889353972767013)"
240,Normal,"(541.4898, array(2817.59044243), 2068.6057, 29.33964930331657, 23.340383883377804)"
241,Abnormal,"(270.50763, array(99.49543385), 71.631775, 1.2018753802664364, -2.242782339653494)"
242,Abnormal,"(475.45837, array(31993.27687935), 1671.9718, 170.6038490971092, 612.019088545574)"
243,Abnormal,"(320.49835, array(1461.50922649), 925.3635, 34.04186868952277, 17.83880610868634)"
244,Normal,"(458.7864, array(20446.90679176), 2772.2095, 209.396372518289, 378.13345192731)"
245,Abnormal,"(549.4621, array(5531.48670021), 2797.6611, 29.926035820512574, 38.87334042018306)"
246,Normal,"(481.52432, array(3114.99681541), 1774.4281, 35.21637299515458, 28.81158172613669)"
247,Normal,"(748.93695, array(2658.64072671), 4107.5337, 15.006681645866767, 0.0709037512775695)"
248,Normal,"(392.67487, array(3548.59613581), 1432.8695, 53.45778554432958, 80.26292845295204)"
249,Normal,"(569.74255, array(212.08040835), 166.53491, 3.6282912174098367, -1.916609183585812)"
250,Normal,"(468.6907, array(3504.63057217), 2231.5593, 37.06722391782986, 51.435402021470956)"
251,Normal,"(507.55676, array(14378.60652736), 6774.2734, 114.53992787503944, 433.80181245374473)"
252,Normal,"(639.971, array(6179.17849856), 429.3569, 21.047245983204974, 10.185889689276534)"
253,Abnormal,"(416.4319, array(3209.07306762), 1414.8882, 45.144474373995735, 25.588857529469156)"
254,Normal,"(594.2164, array(596.0216481), 505.6288, 5.047902631668116, -5.852948533700754)"
255,Abnormal,"(386.03784, array(3804.80749578), 1071.7694, 61.47210687273292, 101.8903648443444)"
256,Normal,"(300.58054, array(1404.14934565), 1794.7946, 10.212226991641963, -3.4187357064375328)"
257,Normal,"(517.2974, array(20800.33470924), 6004.1177, 209.95535395019016, 521.3160774945919)"
258,Abnormal,"(413.00464, array(895.16267158), 628.0924, 13.088185699372715, -9.500158975507217)"
259,Abnormal,"(426.47495, array(4766.07008347), 1389.6324, 46.89325735080145, 52.601722228126455)"
260,Abnormal,"(392.0497, array(1859.3010704), 919.52496, 52.60421996821401, 70.20877723841582)"
261,Abnormal,"(362.03647, array(2588.53340121), 1012.74365, 42.33183004816996, 24.306130467687073)"
262,Abnormal,"(412.42505, array(7930.34672493), 2576.859, 135.31888051278514, 358.93654258502255)"
263,Abnormal,"(477.44968, array(1672.42159645), 1277.3877, 44.163293960977654, 47.87312116441508)"
264,Normal,"(334.7211, array(671.08933942), 374.71957, 18.077846845828795, -1.0215177429411937)"
265,Normal,"(359.4357, array(3953.26575869), 1605.6414, 24.8304446582029, 53.25981910247687)"
266,Abnormal,"(549.80396, array(2591.6166156), 1139.8755, 23.512236783413872, 17.799419996187318)"
267,Abnormal,"(358.73053, array(412.69105507), 501.75067, 13.004229440339353, -1.0292154023006497)"
268,Normal,"(1211.9526, array(13905.6839798), 9627.82, 34.31882415858557, 37.14283401062843)"
269,Normal,"(263.11905, array(4997.51275111), 687.5661, 73.88303726923466, 248.91680346187755)"
270,Normal,"(687.7633, array(4395.79814629), 3210.595, 43.090509162874596, 59.13515490500515)"
271,Abnormal,"(354.3499, array(1955.35479053), 746.0009, 22.250000840417208, 8.995156558770615)"
272,Abnormal,"(426.52097, array(2296.23591568), 824.66223, 33.948747607763636, 7.413792524261531)"
273,Abnormal,"(377.70764, array(1453.90811043), 893.0914, 33.68965597056494, 22.50127598339978)"
274,Normal,"(579.38086, array(5159.99559192), 3904.985, 42.31714175688454, 73.80915833767962)"
275,Abnormal,"(419.66614, array(8324.68279841), 7394.2476, 151.81009524570237, 488.19072579683035)"
276,Abnormal,"(503.21405, array(5594.35230594), 2441.062, 80.04986637064744, 119.63478325761177)"
277,Abnormal,"(424.9812, array(1565.08291168), 786.0726, 35.479252768992815, 38.578962184939805)"
278,Normal,"(327.46448, array(2391.74999632), 630.1139, 34.52730994879608, -1.0442473117809115)"
279,Normal,"(632.04663, array(13144.87022564), 6242.5596, 58.26187717400569, 85.3382305532902)"
280,Normal,"(494.9099, array(5944.69413139), 2986.6035, 127.14209570542262, 369.3446215735716)"
281,Normal,"(475.4673, array(42118.2026141), 7459.5283, 181.49964652109864, 485.7595134020851)"
282,Abnormal,"(354.60156, array(1143.61220264), 487.28278, 15.96120322646395, 5.085051999287718)"
